Financial year,Local authority name,Region,Measure,Value,Units
2019-20,Wandsworth,London,People who use services who found it easy to find information (Percentage),67.1,Percentage
2019-20,Warrington,North West,People who use services who found it easy to find information (Percentage),68.3,Percentage
2019-20,Warwickshire,West Midlands,People who use services who found it easy to find information (Percentage),47.2,Percentage
2019-20,West Berkshire,South East,People who use services who found it easy to find information (Percentage),73.1,Percentage
2019-20,West Sussex,South East,People who use services who found it easy to find information (Percentage),71.6,Percentage
2019-20,Westminster,London,People who use services who found it easy to find information (Percentage),62,Percentage
2019-20,Wigan,North West,People who use services who found it easy to find information (Percentage),67.5,Percentage
2019-20,Wiltshire,South West,People who use services who found it easy to find information (Percentage),64.9,Percentage
2019-20,Windsor and Maidenhead,South East,People who use services who found it easy to find information (Percentage),71.4,Percentage
2019-20,Wirral,North West,People who use services who found it easy to find information (Percentage),74.6,Percentage
2019-20,Wokingham,South East,People who use services who found it easy to find information (Percentage),-,Percentage
2019-20,Wolverhampton,West Midlands,People who use services who found it easy to find information (Percentage),72.2,Percentage
2019-20,Worcestershire,West Midlands,People who use services who found it easy to find information (Percentage),70.8,Percentage
2019-20,York,Yorkshire and The Humber,People who use services who found it easy to find information (Percentage),74.1,Percentage
2019-20,Barking and Dagenham,London,"Requests resulting in a service (per 100,000 population)",3395,"per 100,000 population"
2019-20,Barnet,London,"Requests resulting in a service (per 100,000 population)",1077,"per 100,000 population"
2019-20,Barnsley,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",2809,"per 100,000 population"
2019-20,Bath and North East Somerset,South West,"Requests resulting in a service (per 100,000 population)",1194,"per 100,000 population"
2019-20,Bedford,East of England,"Requests resulting in a service (per 100,000 population)",792,"per 100,000 population"
2019-20,Bexley,London,"Requests resulting in a service (per 100,000 population)",1587,"per 100,000 population"
2019-20,Birmingham,West Midlands,"Requests resulting in a service (per 100,000 population)",1324,"per 100,000 population"
2019-20,Blackburn with Darwen,North West,"Requests resulting in a service (per 100,000 population)",1582,"per 100,000 population"
2019-20,Blackpool,North West,"Requests resulting in a service (per 100,000 population)",3701,"per 100,000 population"
2019-20,Bolton,North West,"Requests resulting in a service (per 100,000 population)",2754,"per 100,000 population"
2019-20,"Bournemouth, Christchurch and Poole",South West,"Requests resulting in a service (per 100,000 population)",1756,"per 100,000 population"
2019-20,Bracknell Forest,South East,"Requests resulting in a service (per 100,000 population)",1396,"per 100,000 population"
2019-20,Bradford,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",4697,"per 100,000 population"
2019-20,Brent,London,"Requests resulting in a service (per 100,000 population)",851,"per 100,000 population"
2019-20,Brighton and Hove,South East,"Requests resulting in a service (per 100,000 population)",1679,"per 100,000 population"
2019-20,Bristol,South West,"Requests resulting in a service (per 100,000 population)",1418,"per 100,000 population"
2019-20,Bromley,London,"Requests resulting in a service (per 100,000 population)",1127,"per 100,000 population"
2019-20,Buckinghamshire,South East,"Requests resulting in a service (per 100,000 population)",416,"per 100,000 population"
2019-20,Bury,North West,"Requests resulting in a service (per 100,000 population)",3250,"per 100,000 population"
2019-20,Calderdale,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",5229,"per 100,000 population"
2019-20,Cambridgeshire,East of England,"Requests resulting in a service (per 100,000 population)",2634,"per 100,000 population"
2019-20,Camden,London,"Requests resulting in a service (per 100,000 population)",590,"per 100,000 population"
2019-20,Central Bedfordshire,East of England,"Requests resulting in a service (per 100,000 population)",1116,"per 100,000 population"
2019-20,Cheshire East,North West,"Requests resulting in a service (per 100,000 population)",2001,"per 100,000 population"
2019-20,Cheshire West and Chester,North West,"Requests resulting in a service (per 100,000 population)",1578,"per 100,000 population"
2019-20,City of London,London,"Requests resulting in a service (per 100,000 population)",1358,"per 100,000 population"
2019-20,Cornwall,South West,"Requests resulting in a service (per 100,000 population)",2113,"per 100,000 population"
2019-20,County Durham,North East,"Requests resulting in a service (per 100,000 population)",1393,"per 100,000 population"
2019-20,Coventry,West Midlands,"Requests resulting in a service (per 100,000 population)",2182,"per 100,000 population"
2019-20,Croydon,London,"Requests resulting in a service (per 100,000 population)",2055,"per 100,000 population"
2019-20,Cumbria,North West,"Requests resulting in a service (per 100,000 population)",1483,"per 100,000 population"
2019-20,Darlington,North East,"Requests resulting in a service (per 100,000 population)",3234,"per 100,000 population"
2019-20,Derby,East Midlands,"Requests resulting in a service (per 100,000 population)",1664,"per 100,000 population"
2019-20,Derbyshire,East Midlands,"Requests resulting in a service (per 100,000 population)",3417,"per 100,000 population"
2019-20,Devon,South West,"Requests resulting in a service (per 100,000 population)",885,"per 100,000 population"
2019-20,Doncaster,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",1170,"per 100,000 population"
2019-20,Dorset,South West,"Requests resulting in a service (per 100,000 population)",1444,"per 100,000 population"
2019-20,Dudley,West Midlands,"Requests resulting in a service (per 100,000 population)",2569,"per 100,000 population"
2019-20,Ealing,London,"Requests resulting in a service (per 100,000 population)",784,"per 100,000 population"
2019-20,East Riding of Yorkshire,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",3394,"per 100,000 population"
2019-20,East Sussex,South East,"Requests resulting in a service (per 100,000 population)",4507,"per 100,000 population"
2019-20,Enfield,London,"Requests resulting in a service (per 100,000 population)",1080,"per 100,000 population"
2019-20,Essex,East of England,"Requests resulting in a service (per 100,000 population)",1473,"per 100,000 population"
2019-20,Gateshead,North East,"Requests resulting in a service (per 100,000 population)",2290,"per 100,000 population"
2019-20,Gloucestershire,South West,"Requests resulting in a service (per 100,000 population)",956,"per 100,000 population"
2019-20,Greenwich,London,"Requests resulting in a service (per 100,000 population)",1154,"per 100,000 population"
2019-20,Hackney,London,"Requests resulting in a service (per 100,000 population)",1211,"per 100,000 population"
2019-20,Halton,North West,"Requests resulting in a service (per 100,000 population)",1709,"per 100,000 population"
2019-20,Hammersmith and Fulham,London,"Requests resulting in a service (per 100,000 population)",905,"per 100,000 population"
2019-20,Hampshire,South East,"Requests resulting in a service (per 100,000 population)",3746,"per 100,000 population"
2019-20,Haringey,London,"Requests resulting in a service (per 100,000 population)",1030,"per 100,000 population"
2019-20,Harrow,London,"Requests resulting in a service (per 100,000 population)",1549,"per 100,000 population"
2019-20,Hartlepool,North East,"Requests resulting in a service (per 100,000 population)",2146,"per 100,000 population"
2019-20,Havering,London,"Requests resulting in a service (per 100,000 population)",1347,"per 100,000 population"
2019-20,Herefordshire,West Midlands,"Requests resulting in a service (per 100,000 population)",2134,"per 100,000 population"
2019-20,Hertfordshire,East of England,"Requests resulting in a service (per 100,000 population)",1063,"per 100,000 population"
2019-20,Hillingdon,London,"Requests resulting in a service (per 100,000 population)",1437,"per 100,000 population"
2019-20,Hounslow,London,"Requests resulting in a service (per 100,000 population)",2334,"per 100,000 population"
2019-20,Isle of Wight,South East,"Requests resulting in a service (per 100,000 population)",1307,"per 100,000 population"
2019-20,Isles of Scilly,South West,"Requests resulting in a service (per 100,000 population)",795,"per 100,000 population"
2019-20,Islington,London,"Requests resulting in a service (per 100,000 population)",1215,"per 100,000 population"
2019-20,Kensington and Chelsea,London,"Requests resulting in a service (per 100,000 population)",1332,"per 100,000 population"
2019-20,Kent,South East,"Requests resulting in a service (per 100,000 population)",1264,"per 100,000 population"
2019-20,Kingston Upon Hull,Yorkshire and The Humber,"Requests resulting in a service (per 100,000 population)",3043,"per 100,000 population"
